CustomerID,FirstName,LastName,Age,BirthDate,Country
1,Alexander,Neumann,23,2003-08-02,Switzerland
2,Katharina,Lange,24,2002-12-07,Switzerland
3,Emma,Lange,22,2004-06-11,Germany
4,Marie,Fischer,19,2007-02-27,Switzerland
5,Sandra,Richter,18,2008-02-04,Switzerland
6,Mia,Koch,19,2007-12-01,Switzerland
7,Sophie,Schulz,18,2008-02-08,Switzerland
8,Max,Schmidt,19,2007-06-06,Austria
9,Leo,Fischer,20,2006-08-12,Switzerland
10,Simon,Meyer,24,2002-10-11,Switzerland
11,Emma,Becker,21,2005-12-15,Austria
12,Marie,Schneider,23,2003-05-24,Germany
13,Jonas,Braun,22,2004-01-26,Austria
14,Thomas,Klein,23,2003-10-07,Austria
15,Felix,Hartmann,19,2007-06-08,Germany
16,Julia,Werner,19,2007-01-07,Switzerland
17,Felix,Richter,24,2002-02-11,Germany
18,Michael,Neumann,24,2002-06-13,Germany
19,Sandra,Werner,22,2004-09-05,Germany
20,Mia,Richter,20,2006-10-28,Germany
21,Katharina,Schäfer,18,2008-09-17,Germany
22,Alexander,Hartmann,24,2002-03-28,Austria
23,Sophie,Meyer,19,2007-08-06,Switzerland
24,Michael,Schäfer,19,2007-01-23,Austria
25,Julia,Krüger,18,2008-03-21,Germany
26,Sabine,Hofmann,21,2005-08-25,Austria
27,Julia,Bauer,18,2008-02-23,Austria
28,Sabine,Bauer,20,2006-03-19,Austria
29,Stefan,Schwarz,23,2003-12-04,Germany
30,Simon,Lange,18,2008-11-11,Germany
31,Lukas,Hofmann,35,1991-02-09,Austria
32,Katharina,Koch,33,1993-07-23,Switzerland
33,Leo,Klein,35,1991-07-01,Germany
34,Alexander,Bauer,40,1986-06-08,Switzerland
35,Simon,Fischer,28,1998-07-01,Germany
36,Anna,Bauer,28,1998-02-08,Germany
37,Thomas,Becker,26,2000-09-13,Austria
38,Julia,Schneider,39,1987-04-09,Germany
39,Max,Schröder,26,2000-01-24,Switzerland
40,Katharina,Schröder,45,1981-06-25,Switzerland
41,Laura,Krüger,37,1989-05-09,Switzerland
42,Christian,Schmidt,42,1984-01-22,Austria
43,Anna,Wolf,38,1988-07-24,Switzerland
44,Lisa,Koch,40,1986-12-11,Switzerland
45,Elena,Neumann,37,1989-08-19,Austria
46,Katharina,Müller,45,1981-09-05,Austria
47,Jan,Richter,30,1996-09-25,Austria
48,Michael,Koch,26,2000-04-02,Germany
49,Jonas,Zimmermann,43,1983-08-25,Switzerland
50,Paul,Weber,35,1991-05-24,Switzerland
51,Michael,Meyer,39,1987-12-08,Germany
52,Lisa,Werner,42,1984-12-07,Germany
53,Katharina,Weber,43,1983-03-09,Switzerland
54,David,Koch,31,1995-12-06,Switzerland
55,Emma,Schmitt,44,1982-05-08,Switzerland
56,Paul,Fischer,41,1985-11-17,Switzerland
57,Laura,Schwarz,35,1991-01-18,Germany
58,Sophie,Krüger,37,1989-01-13,Austria
59,Katharina,Wagner,45,1981-03-01,Austria
60,Katharina,Schmitt,36,1990-04-05,Switzerland
61,Mia,Hofmann,43,1983-10-26,Switzerland
62,Jonas,Müller,44,1982-05-25,Austria
63,Christian,Meyer,28,1998-04-15,Germany
64,Julia,Fischer,42,1984-06-20,Germany
65,Katharina,Werner,44,1982-01-18,Germany
66,Laura,Zimmermann,44,1982-04-13,Austria
67,Alexander,Schmitt,36,1990-05-28,Switzerland
68,Anna,Koch,43,1983-10-01,Germany
69,Lisa,Lange,28,1998-07-26,Germany
70,Michael,Wolf,34,1992-03-15,Austria
71,Laura,Fischer,29,1997-03-08,Germany
72,Mia,Bauer,28,1998-05-10,Germany
73,Leo,Krüger,31,1995-11-01,Germany
74,Paul,Schäfer,34,1992-02-16,Switzerland
75,Lukas,Zimmermann,27,1999-03-13,Germany
76,Marie,Wagner,35,1991-04-02,Switzerland
77,Nicole,Hoffmann,39,1987-12-19,Switzerland
78,Marie,Weber,37,1989-03-03,Germany
79,Thomas,Schröder,26,2000-10-26,Switzerland
80,Alexander,Wolf,35,1991-11-04,Germany
81,Sarah,Braun,68,1958-10-27,Germany
82,Jan,Schwarz,57,1969-02-25,Switzerland
83,Felix,Schulz,66,1960-09-27,Switzerland
84,Emma,Schäfer,59,1967-03-25,Germany
85,Laura,Weber,65,1961-06-23,Germany
86,Thomas,Braun,56,1970-11-14,Switzerland
87,Felix,Zimmermann,64,1962-05-28,Switzerland
88,Mia,Schwarz,70,1956-05-26,Germany
89,David,Hofmann,47,1979-01-02,Switzerland
90,Alexander,Schröder,62,1964-09-10,Austria
91,Nicole,Richter,50,1976-03-11,Germany
92,David,Schmitt,61,1965-04-16,Austria
93,Stefan,Koch,65,1961-07-05,Switzerland
94,Alexander,Lange,67,1959-04-21,Germany
95,Lukas,Müller,58,1968-06-25,Austria
96,Nicole,Schulz,69,1957-04-04,Switzerland
97,Max,Zimmermann,50,1976-11-17,Germany
98,Michael,Schmidt,61,1965-06-14,Switzerland
99,Stefan,Schneider,66,1960-09-23,Austria
100,Katharina,Wagner,52,1974-09-14,Austria
